import time: self [us] | cumulative | imported package
import time:       576 |       7818 |                   numpy._typing
import time:       565 |        565 |                     numpy.lib._stride_tricks_impl
import time:       549 |       1113 |                   numpy.lib._twodim_base_impl
import time:       358 |        358 |                     numpy.lib._array_utils_impl
import time:       359 |        716 |                   numpy.lib.array_utils
import time:       663 |        663 |                   numpy.linalg._umath_linalg
import time:      1430 |      11738 |                 numpy.linalg._linalg
import time:       444 |      12182 |               numpy.linalg
import time:       638 |      12820 |             numpy.matrixlib.defmatrix
import time:       504 |      13324 |           numpy.matrixlib
import time:       610 |        610 |             numpy.lib._histograms_impl
import time:      1797 |       2407 |           numpy.lib._function_base_impl
import time:       850 |      16579 |         numpy.lib._index_tricks_impl
import time:       760 |      19626 |       numpy.lib._arraypad_impl
import time:      1079 |       1079 |       numpy.lib._arraysetops_impl
import time:       466 |        466 |       numpy.lib._arrayterator_impl
import time:       616 |        616 |       numpy.lib._nanfunctions_impl
import time:      1670 |       1670 |                 _wmi
import time:      1117 |       2787 |               platform
import time:       462 |       3248 |             numpy.lib._utils_impl
import time:       433 |       3681 |           numpy.lib._format_impl
import time:       394 |       4074 |         numpy.lib.format
import time:       558 |        558 |         numpy.lib._datasource
import time:       727 |        727 |         numpy.lib._iotools
import time:       826 |       6183 |       numpy.lib._npyio_impl
import time:      1636 |       1636 |           numpy.lib._ufunclike_impl
import time:      1657 |       3293 |         numpy.lib._type_check_impl
import time:      1419 |       4711 |       numpy.lib._polynomial_impl
import time:      1249 |       1249 |       numpy.lib._shape_base_impl
import time:       498 |        498 |       numpy.lib._version
import time:       772 |        772 |       numpy.lib.introspect
import time:       655 |        655 |       numpy.lib.mixins
import time:       431 |        431 |       numpy.lib.npyio
import time:       603 |        603 |         numpy.lib._scimath_impl
import time:       369 |        971 |       numpy.lib.scimath
import time:       439 |        439 |       numpy.lib.stride_tricks
import time:       912 |      38603 |     numpy.lib
import time:       409 |        409 |     numpy._array_api_info
import time:      1410 |     100027 |   numpy
import time:       108 |        108 |           binascii
import time:      1027 |       1027 |             importlib._abc
import time:       115 |       1142 |           importlib.util
import time:        90 |         90 |             zlib
import time:       692 |        692 |               _compression
import time:      1028 |       1028 |               _bz2
import time:       729 |       2449 |             bz2
import time:      1159 |       1159 |               _lzma
import time:       789 |       1948 |             lzma
import time:      1505 |       5990 |           shutil
