array,warmup_start,warmup_end,duration_s,warm_level,level_source
PD1M1,2026-06-24 08:08:19,2026-06-24 08:09:19,60,0.9300,reference
PD1M1,2026-06-24 08:16:14,2026-06-24 08:17:04,50,0.9300,reference
